step,churn_rate,entropy,utilization
31000,0.0,0.3609359645412617,0.2719298245614035
32000,0.8134810710987996,0.36178912561134646,0.26500461680517085
33000,0.8693444136657433,0.3793165433151127,0.2788550323176362
34000,0.7520775623268698,0.37138200230305424,0.2903970452446907
35000,0.8679593721144968,0.40976507165864173,0.30378578024007385
36000,0.801477377654663,0.3932472054168376,0.29732225300092335
37000,0.7770083102493075,0.40026289782762314,0.31809787626962144
38000,0.6578947368421053,0.4062789768894326,0.32409972299168976
39000,0.6089566020313942,0.4134672150644981,0.322253000923361
40000,0.6939058171745153,0.4009181423987232,0.3171745152354571
41000,0.5521698984302862,0.3995263202785934,0.3139427516158818
42000,0.5203139427516159,0.4113138414892337,0.31301939058171746
43000,0.602954755309326,0.40632134016551763,0.30009233610341646
44000,0.5549399815327793,0.4131828826579416,0.3171745152354571
45000,0.4866112650046168,0.4149013549449296,0.31071098799630653
