step,churn_rate,entropy,utilization
5055,0.0,0.261776197513069,0.22068328716528163
5060,0.17266851338873498,0.2591711755385034,0.22253000923361035
5065,0.19067405355494,0.2568211226995767,0.22668513388734995
5070,0.18790397045244692,0.25570741183385715,0.22622345337026778
5075,0.21191135734072022,0.2546277285934584,0.22899353647276086
5080,0.18744228993536471,0.2530396944340078,0.22391505078485688
5085,0.1837488457987073,0.2505243456516606,0.22022160664819945
5090,0.17636195752539244,0.2492376600640474,0.22206832871652815
5095,0.18975069252077562,0.24862471033495892,0.21929824561403508
5100,0.17174515235457063,0.24601605921342204,0.21606648199445982
