step,churn_rate,entropy,utilization
30050,0.0,0.38193977376557375,0.28439519852262235
30100,0.5337026777469991,0.3870756881287055,0.28901200369344415
30150,0.44136657433056325,0.38721741861117853,0.2996306555863343
30200,0.38134810710988,0.3814334724465589,0.31071098799630653
30250,0.40766389658356417,0.3811345616266182,0.3231763619575254
30300,0.3536472760849492,0.3775075514379879,0.3171745152354571
30350,0.33518005540166207,0.37323992023312347,0.30240073868882733
30400,0.2774699907663897,0.3739456558068101,0.29547553093259465
30450,0.34395198522622344,0.3726232241048527,0.29362880886426596
30500,0.3074792243767313,0.3678357747837502,0.2922437673130194
30550,0.30193905817174516,0.3640016033630057,0.283471837488458
30600,0.3365650969529086,0.3670718257513245,0.2894736842105263
30650,0.3425669436749769,0.367140554833278,0.2770083102493075
30700,0.288550323176362,0.36598607042300607,0.28439519852262235
30750,0.4178208679593721,0.3681498819091042,0.29778393351800553
30800,0.36795937211449675,0.36649486687735106,0.2903970452446907
30850,0.4293628808864266,0.36853612961205606,0.2853185595567867
30900,0.39935364727608497,0.37611725519552447,0.3056325023084026
30950,0.3536472760849492,0.3704778304645447,0.29778393351800553
31000,0.3684210526315789,0.36530755121312164,0.27516158818097874
31050,0.3204062788550323,0.36486789275400944,0.2820867959372115
31100,0.2502308402585411,0.36687611162108,0.296398891966759
31150,0.37765466297322253,0.36433609323537963,0.2903970452446907
31200,0.4473684210526316,0.36426876087791715,0.2899353647276085
31250,0.41274238227146814,0.3642866323439461,0.2871652816251154
31300,0.34025854108956605,0.3633251035036561,0.2770083102493075
31350,0.2931671283471837,0.3610108026660394,0.2871652816251154
31400,0.31809787626962144,0.3689162090481535,0.2899353647276085
31450,0.33056325023084027,0.3708978983627007,0.28901200369344415
31500,0.4159741458910434,0.3650593756929126,0.28162511542012925
31550,0.32179132040627884,0.3650209809278426,0.2737765466297322
31600,0.3296398891966759,0.36746846782852444,0.2788550323176362
31650,0.3361034164358264,0.3690053314780043,0.28439519852262235
31700,0.30009233610341646,0.3659127036076989,0.27793167128347185
31750,0.3208679593721145,0.37188840419424507,0.2848568790397045
31800,0.3638042474607572,0.3721627120555931,0.2931671283471837
31850,0.2793167128347184,0.3701720043681569,0.29593721144967683
31900,0.3010156971375808,0.3678236531332057,0.29547553093259465
31950,0.3301015697137581,0.3690822716479673,0.29085872576177285
32000,0.29409048938134813,0.36627344768528186,0.2820867959372115
